,ALFAA,ALFAA,ALFAA,AMXL,AMXL,AMXL,BIMBOA,BIMBOA,BIMBOA,CEMEXCPO,CEMEXCPO,CEMEXCPO,FEMSAUBD,FEMSAUBD,FEMSAUBD,WALMEX,WALMEX,WALMEX
723,0.05,16.98,1.87,0.06,16.32,1.62,-0.04,34.06,3.07,0.04,7.47,0.69,-0.03,176.03,11.86,0.07,59.14,6.14
724,-0.03,15.72,1.61,-0.01,15.17,1.23,0.01,35.62,3.12,0.01,7.22,0.61,-0.01,180.04,11.76,0.05,58.09,5.54
725,-0.11,14.45,1.97,-0.06,14.40,1.34,0.02,35.96,3.19,-0.05,6.78,0.62,-0.01,179.23,11.72,0.05,57.70,5.36
726,0.03,16.62,1.73,-0.05,14.53,1.30,0.03,36.49,3.36,-0.03,6.97,0.59,-0.02,178.36,11.69,0.03,56.90,5.01
727,-0.01,15.94,1.61,0.00,15.29,1.24,-0.06,33.18,3.26,-0.04,6.90,0.60,-0.03,176.74,11.78,0.02,56.30,4.81
728,-0.04,15.59,1.61,-0.05,14.60,1.28,0.04,36.62,3.41,-0.02,7.05,0.59,-0.01,179.09,11.72,0.01,55.60,4.63
729,0.10,17.82,2.33,0.08,16.58,1.78,0.02,35.96,3.19,0.05,7.54,0.73,0.01,182.75,12.20,0.05,57.79,5.40
730,-0.05,15.38,1.65,-0.01,15.23,1.23,0.01,35.55,3.11,-0.04,6.87,0.60,-0.03,175.52,11.92,-0.02,54.00,4.46
731,0.03,16.59,1.73,0.05,16.09,1.50,-0.02,34.56,3.03,-0.07,6.68,0.65,0.04,188.33,14.25,-0.01,54.81,4.49
732,0.04,16.76,1.78,0.03,15.77,1.36,0.01,35.69,3.14,0.02,7.28,0.62,-0.05,172.42,12.67,-0.03,53.23,4.52
733,-0.01,15.98,1.61,0.04,15.94,1.43,0.00,35.19,3.05,-0.03,6.92,0.60,0.05,190.82,15.60,0.11,61.34,7.70
734,0.17,19.19,3.40,0.09,16.85,1.97,0.01,35.82,3.16,-0.01,7.07,0.59,0.06,192.71,16.76,0.05,58.18,5.59
735,-0.07,15.08,1.72,0.01,15.50,1.28,-0.03,34.33,3.03,-0.04,6.87,0.60,0.03,187.89,14.04,0.00,54.86,4.50
736,-0.03,15.70,1.61,0.03,15.80,1.37,0.04,36.93,3.54,0.04,7.42,0.67,-0.01,180.22,11.77,0.00,55.29,4.57
737,0.03,16.58,1.72,-0.04,14.75,1.25,0.06,37.59,3.86,0.01,7.20,0.61,-0.03,175.86,11.88,-0.05,52.38,4.67
738,0.00,16.15,1.63,0.02,15.60,1.31,0.03,36.59,3.40,0.02,7.30,0.63,0.00,180.71,11.82,-0.05,52.17,4.73
739,-0.02,15.88,1.61,0.02,15.68,1.33,-0.06,33.22,3.25,0.00,7.13,0.60,0.01,183.69,12.42,-0.02,54.07,4.46
740,0.06,17.08,1.91,0.09,16.71,1.87,0.00,35.41,3.09,0.00,7.16,0.60,0.01,183.02,12.26,0.05,58.03,5.52
741,0.02,16.42,1.68,0.04,15.97,1.44,-0.04,33.97,3.08,0.03,7.39,0.66,0.05,190.97,15.69,0.00,55.11,4.54
742,0.05,16.95,1.85,0.02,15.58,1.30,0.08,38.49,4.41,-0.02,7.00,0.59,-0.01,179.16,11.72,0.03,56.71,4.95
743,-0.11,14.52,1.94,-0.06,14.46,1.32,0.04,36.82,3.49,-0.05,6.80,0.62,0.02,185.07,12.88,0.01,55.55,4.62
744,0.01,16.31,1.66,0.04,15.94,1.43,0.04,36.64,3.42,0.08,7.74,0.84,0.01,182.84,12.22,-0.02,53.80,4.46
745,0.02,16.47,1.69,0.01,15.49,1.28,-0.03,34.20,3.05,-0.02,7.00,0.59,0.02,185.99,13.21,0.02,56.19,4.77
746,-0.06,15.18,1.69,0.01,15.54,1.29,-0.07,33.13,3.28,0.03,7.36,0.65,-0.02,178.52,11.69,0.02,56.02,4.72
747,0.03,16.70,1.76,-0.01,15.23,1.24,0.01,35.80,3.16,0.04,7.42,0.67,-0.03,175.36,11.95,-0.02,54.05,4.47
748,0.06,17.09,1.91,-0.01,15.16,1.23,0.00,35.35,3.07,0.02,7.29,0.63,0.05,190.73,15.54,-0.03,53.36,4.50
749,0.11,18.04,2.48,0.03,15.74,1.35,0.00,35.45,3.09,0.04,7.44,0.68,0.00,180.77,11.83,0.00,55.39,4.59
750,0.03,16.59,1.73,0.05,16.13,1.52,-0.03,34.27,3.04,-0.02,6.99,0.59,-0.01,180.56,11.79,0.01,55.53,4.62
751,-0.09,14.76,1.83,-0.03,14.88,1.23,0.02,35.93,3.19,0.01,7.20,0.61,-0.04,175.03,12.00,-0.02,54.03,4.46
752,0.06,17.14,1.94,0.03,15.74,1.35,0.06,37.68,3.91,0.00,7.19,0.61,0.01,182.75,12.20,0.02,56.32,4.81
753,0.12,18.24,2.62,-0.04,14.75,1.25,0.01,35.69,3.14,-0.01,7.10,0.59,0.00,181.54,11.96,-0.04,53.07,4.54
754,0.00,16.17,1.63,0.00,15.34,1.25,-0.03,34.30,3.04,0.00,7.18,0.60,0.02,185.42,13.01,0.04,57.56,5.29
755,-0.06,15.28,1.66,-0.01,15.14,1.23,-0.03,34.38,3.03,-0.03,6.93,0.59,0.01,182.90,12.24,-0.02,53.85,4.46
756,0.13,18.32,2.68,-0.01,15.25,1.24,0.02,36.10,3.24,0.02,7.34,0.64,0.00,180.89,11.85,-0.05,52.25,4.71
757,0.03,16.60,1.73,0.05,16.08,1.50,0.04,36.63,3.41,0.02,7.32,0.64,0.04,188.06,14.12,-0.04,52.89,4.56
758,0.12,18.16,2.57,0.07,16.47,1.71,0.04,36.91,3.53,-0.03,6.97,0.59,0.02,185.77,13.13,-0.05,52.67,4.60
759,0.03,16.70,1.76,-0.05,14.59,1.28,-0.02,34.60,3.03,0.02,7.31,0.63,0.00,180.68,11.81,0.04,57.48,5.25
760,0.02,16.47,1.69,0.02,15.58,1.30,0.06,37.54,3.84,0.01,7.23,0.61,0.03,186.82,13.54,0.04,57.21,5.13
761,-0.03,15.65,1.61,-0.02,14.96,1.23,0.06,37.61,3.88,-0.01,7.07,0.59,-0.05,172.36,12.69,0.05,58.11,5.55
762,0.03,16.67,1.75,0.05,16.09,1.50,0.05,37.26,3.70,0.03,7.39,0.66,-0.01,179.14,11.72,0.03,56.95,5.03
763,-0.03,15.61,1.61,-0.04,14.68,1.26,0.00,35.46,3.09,-0.03,6.92,0.60,-0.01,179.84,11.75,0.14,63.60,9.59
764,-0.16,13.73,2.43,-0.03,14.86,1.24,-0.01,35.15,3.05,0.03,7.38,0.66,-0.05,173.03,12.50,-0.08,50.94,5.17
765,-0.08,14.88,1.78,0.02,15.69,1.34,0.04,36.86,3.51,0.00,7.17,0.60,0.02,184.73,12.76,-0.02,53.79,4.47
766,-0.04,15.56,1.62,0.00,15.29,1.24,-0.04,33.93,3.09,-0.05,6.84,0.61,-0.01,178.95,11.71,0.04,57.19,5.12
767,0.00,16.10,1.62,-0.01,15.18,1.23,-0.01,35.18,3.05,-0.01,7.06,0.59,-0.01,179.52,11.74,-0.05,52.68,4.60
768,0.09,17.60,2.19,0.10,16.86,1.98,0.00,35.28,3.06,0.02,7.31,0.63,0.04,187.97,14.08,0.02,56.15,4.76
769,-0.07,15.14,1.70,-0.04,14.70,1.26,-0.02,34.55,3.03,-0.03,6.92,0.60,0.00,180.97,11.86,0.07,59.03,6.08
770,0.09,17.77,2.29,0.01,15.54,1.29,0.02,35.93,3.18,0.00,7.19,0.60,-0.01,180.29,11.77,0.11,61.62,7.92
771,-0.06,15.29,1.66,0.01,15.51,1.28,-0.02,34.74,3.03,0.02,7.29,0.63,0.03,186.33,13.33,-0.01,54.47,4.48
772,-0.02,15.87,1.61,-0.03,14.92,1.23,0.03,36.51,3.37,-0.01,7.09,0.59,-0.04,173.59,12.34,0.10,61.03,7.45
773,0.02,16.52,1.70,-0.02,14.98,1.23,-0.01,35.18,3.05,0.00,7.14,0.60,-0.04,174.34,12.14,-0.02,53.98,4.46
774,-0.03,15.65,1.61,0.00,15.27,1.24,-0.01,34.85,3.03,-0.03,6.92,0.60,0.02,185.73,13.11,-0.03,53.55,4.48
775,0.05,17.05,1.90,0.04,15.90,1.41,-0.05,33.68,3.13,0.03,7.38,0.66,0.05,190.16,15.21,-0.04,52.84,4.57
776,0.02,16.41,1.68,0.01,15.49,1.28,-0.03,34.45,3.03,0.00,7.17,0.60,-0.03,175.85,11.88,-0.07,51.52,4.93
777,-0.04,15.55,1.62,-0.03,14.85,1.24,0.01,35.82,3.16,0.01,7.25,0.62,-0.01,179.40,11.73,-0.06,51.82,4.83
778,-0.14,14.05,2.21,-0.08,14.21,1.41,-0.05,33.62,3.14,-0.05,6.82,0.61,-0.01,180.35,11.78,0.05,57.69,5.35
779,-0.03,15.68,1.61,0.01,15.53,1.29,0.01,35.80,3.15,-0.01,7.07,0.59,-0.01,179.89,11.76,0.01,55.57,4.62
780,0.00,16.17,1.63,-0.01,15.13,1.23,-0.03,34.41,3.03,0.02,7.27,0.62,0.00,182.33,12.12,-0.03,53.70,4.47
781,-0.07,15.08,1.72,0.03,15.85,1.39,0.00,35.53,3.11,-0.05,6.79,0.62,0.06,191.83,16.21,-0.06,52.14,4.74
782,-0.02,15.83,1.61,-0.02,14.95,1.23,0.02,35.98,3.20,-0.06,6.77,0.62,0.00,182.26,12.10,0.09,60.04,6.74
783,0.02,16.54,1.71,-0.05,14.65,1.27,0.09,38.82,4.64,0.03,7.35,0.64,-0.03,175.83,11.88,-0.01,54.51,4.48
784,-0.05,15.38,1.65,-0.06,14.40,1.34,-0.10,31.91,3.82,-0.01,7.07,0.59,0.00,180.63,11.80,0.01,55.68,4.64
785,0.05,17.04,1.90,0.00,15.27,1.24,0.09,38.61,4.49,0.00,7.18,0.60,0.01,184.09,12.55,0.00,55.28,4.57
786,0.13,18.44,2.78,0.01,15.48,1.28,0.02,36.09,3.23,-0.03,6.96,0.59,0.00,181.70,11.99,0.04,57.16,5.11
787,0.09,17.60,2.19,0.08,16.67,1.84,-0.06,33.34,3.22,0.06,7.59,0.75,0.03,187.18,13.70,-0.08,51.08,5.11
788,-0.08,14.93,1.76,0.02,15.69,1.34,-0.06,33.30,3.23,-0.05,6.81,0.61,0.03,187.59,13.89,0.04,57.51,5.27
789,-0.09,14.83,1.80,-0.07,14.31,1.37,0.06,37.70,3.93,0.03,7.40,0.66,-0.04,175.09,11.99,-0.09,50.27,5.49
790,0.11,18.02,2.46,0.08,16.52,1.74,0.06,37.55,3.84,0.01,7.27,0.62,-0.02,178.38,11.69,0.07,59.26,6.22
791,0.02,16.46,1.69,0.01,15.43,1.27,0.04,36.80,3.48,0.02,7.29,0.63,-0.01,179.78,11.75,-0.01,54.81,4.49
792,-0.05,15.32,1.66,-0.05,14.58,1.28,0.07,37.81,3.99,-0.05,6.81,0.61,-0.03,176.51,11.81,0.06,58.30,5.65
793,-0.04,15.57,1.62,-0.01,15.14,1.23,-0.08,32.50,3.52,-0.07,6.67,0.66,0.03,187.32,13.77,-0.01,54.70,4.48
794,-0.02,15.82,1.61,-0.02,14.97,1.23,-0.01,34.87,3.03,-0.02,7.00,0.59,0.02,185.44,13.01,-0.09,50.36,5.44
795,-0.01,16.01,1.61,-0.05,14.57,1.29,0.05,37.31,3.72,0.04,7.42,0.67,0.01,183.79,12.45,-0.02,53.91,4.46
796,-0.18,13.50,2.61,-0.07,14.34,1.35,0.02,36.02,3.21,-0.01,7.07,0.59,-0.02,177.98,11.69,0.00,55.33,4.58
797,-0.03,15.65,1.61,-0.02,15.02,1.23,0.01,35.71,3.14,-0.02,7.04,0.59,0.04,189.08,14.62,-0.01,54.69,4.48
798,0.09,17.67,2.23,0.07,16.43,1.69,0.00,35.49,3.10,-0.01,7.08,0.59,-0.03,176.23,11.84,-0.02,53.95,4.46
799,0.00,16.19,1.64,-0.03,14.90,1.23,-0.08,32.55,3.50,-0.04,6.88,0.60,0.00,181.62,11.97,0.02,56.29,4.80
800,0.05,17.05,1.90,0.04,16.03,1.47,0.04,36.80,3.48,-0.02,7.00,0.59,-0.02,177.18,11.73,0.06,58.80,5.94
801,-0.03,15.65,1.61,0.04,15.93,1.43,-0.02,34.50,3.03,-0.04,6.91,0.60,0.01,184.06,12.54,-0.06,51.88,4.81
802,0.03,16.58,1.72,0.01,15.51,1.28,-0.04,34.08,3.07,0.06,7.61,0.76,-0.04,173.89,12.26,0.01,55.68,4.64
803,0.01,16.33,1.66,0.05,16.14,1.52,-0.05,33.69,3.13,-0.03,6.97,0.59,0.02,185.90,13.18,0.03,56.65,4.93
804,-0.07,15.05,1.73,0.04,15.90,1.41,-0.04,34.05,3.07,-0.02,7.05,0.59,0.01,182.62,12.18,0.04,57.12,5.09
805,-0.04,15.60,1.61,0.00,15.36,1.26,-0.05,33.48,3.18,0.02,7.28,0.63,-0.02,178.72,11.70,0.00,55.31,4.57
806,-0.02,15.86,1.61,-0.05,14.56,1.29,-0.07,32.93,3.34,0.00,7.16,0.60,0.00,181.58,11.96,-0.04,53.20,4.52
807,0.05,16.97,1.86,0.01,15.47,1.27,0.02,36.10,3.23,-0.06,6.77,0.62,0.02,185.01,12.86,0.02,56.03,4.72
808,0.01,16.40,1.67,-0.09,13.98,1.52,-0.01,34.85,3.03,-0.02,7.02,0.59,-0.05,172.65,12.60,-0.05,52.20,4.72
809,-0.05,15.33,1.65,-0.02,15.09,1.23,-0.06,33.31,3.22,-0.04,6.86,0.60,0.03,186.22,13.29,-0.01,54.53,4.48
810,-0.17,13.70,2.46,-0.10,13.92,1.55,-0.06,33.14,3.28,0.06,7.58,0.75,-0.03,176.29,11.83,-0.02,54.08,4.46
811,0.05,16.93,1.85,0.01,15.54,1.29,0.02,35.99,3.20,0.08,7.77,0.86,-0.03,176.18,11.84,-0.04,53.04,4.54
812,-0.14,14.00,2.25,-0.06,14.48,1.31,-0.01,34.92,3.03,0.01,7.24,0.61,-0.06,170.50,13.41,-0.06,51.71,4.87
813,0.03,16.58,1.72,-0.05,14.59,1.28,-0.01,34.91,3.03,0.00,7.17,0.60,0.03,187.23,13.73,-0.05,52.66,4.60
814,0.01,16.36,1.67,0.00,15.35,1.25,0.05,37.05,3.60,-0.05,6.84,0.61,0.02,185.16,12.91,0.08,59.60,6.43
815,0.00,16.22,1.64,-0.04,14.76,1.25,0.00,35.21,3.05,-0.04,6.85,0.61,-0.01,180.52,11.79,-0.04,52.93,4.56
816,0.02,16.44,1.68,0.02,15.57,1.30,-0.01,35.09,3.04,-0.04,6.85,0.61,-0.01,180.19,11.77,0.01,55.80,4.67
817,-0.03,15.73,1.61,0.01,15.42,1.27,0.07,37.76,3.96,0.03,7.36,0.65,-0.03,175.65,11.90,0.15,63.75,9.72
818,0.05,17.03,1.89,0.05,16.05,1.48,0.01,35.84,3.16,0.00,7.15,0.60,0.02,185.44,13.01,0.02,56.00,4.72
819,0.02,16.49,1.70,0.05,16.13,1.52,0.03,36.44,3.35,0.03,7.37,0.65,0.04,189.72,14.95,0.07,59.36,6.28
820,-0.02,15.81,1.61,-0.05,14.64,1.27,0.01,35.84,3.16,0.01,7.21,0.61,-0.02,177.09,11.74,-0.03,53.65,4.47
821,-0.03,15.67,1.61,-0.01,15.17,1.23,0.05,37.27,3.70,0.03,7.39,0.66,-0.03,177.00,11.75,0.01,55.92,4.69
822,0.05,16.94,1.85,0.05,16.04,1.48,0.02,36.13,3.25,0.01,7.22,0.61,0.03,186.71,13.48,0.07,58.97,6.04
823,-0.03,15.74,1.61,0.03,15.77,1.36,0.00,35.43,3.09,0.00,7.14,0.60,-0.02,177.20,11.73,0.03,56.83,4.99
824,0.00,16.12,1.63,-0.04,14.78,1.25,0.03,36.45,3.35,0.00,7.16,0.60,0.01,183.78,12.45,0.00,55.39,4.59
825,-0.05,15.31,1.66,-0.03,14.86,1.24,-0.04,33.95,3.08,-0.04,6.89,0.60,-0.02,178.47,11.69,0.03,56.86,5.00
826,-0.02,15.81,1.61,-0.03,14.87,1.23,-0.04,33.89,3.09,0.07,7.65,0.79,-0.03,176.62,11.79,0.01,55.70,4.65
827,0.00,16.22,1.64,-0.03,14.84,1.24,-0.06,33.38,3.21,-0.05,6.80,0.62,0.00,181.93,12.04,0.14,63.43,9.44
828,0.08,17.52,2.14,0.04,16.03,1.47,0.05,37.06,3.60,0.11,7.99,1.02,-0.01,180.04,11.76,0.01,55.53,4.61
829,0.08,17.59,2.18,0.05,16.04,1.47,0.05,37.24,3.69,0.00,7.16,0.60,0.01,182.88,12.23,0.10,60.78,7.26
830,-0.04,15.59,1.62,-0.07,14.28,1.38,-0.01,34.88,3.03,0.01,7.27,0.62,-0.03,176.84,11.77,-0.02,53.83,4.46
831,-0.01,15.94,1.61,-0.04,14.79,1.25,-0.04,33.83,3.10,0.02,7.27,0.62,-0.02,178.61,11.70,-0.08,50.94,5.17
832,0.03,16.72,1.77,0.02,15.59,1.30,-0.01,35.00,3.04,0.02,7.28,0.62,0.00,182.14,12.08,-0.07,51.49,4.94
833,0.02,16.52,1.70,-0.05,14.59,1.28,-0.06,33.14,3.28,0.02,7.33,0.64,0.01,183.64,12.41,0.10,60.97,7.41
834,-0.04,15.54,1.62,0.01,15.50,1.28,0.01,35.77,3.15,-0.01,7.09,0.59,0.02,185.69,13.10,-0.05,52.55,4.62
835,0.05,17.06,1.90,0.04,15.89,1.41,0.05,37.31,3.72,-0.06,6.77,0.63,0.03,187.42,13.81,0.07,58.98,6.05
836,0.00,16.20,1.64,-0.04,14.66,1.27,0.00,35.28,3.06,0.02,7.28,0.62,0.00,181.52,11.95,-0.02,54.28,4.47
837,-0.04,15.56,1.62,0.05,16.04,1.48,0.02,36.02,3.21,0.03,7.41,0.67,-0.02,177.68,11.69,0.08,59.43,6.32
838,-0.04,15.49,1.63,0.01,15.42,1.27,0.03,36.57,3.39,0.00,7.15,0.60,0.02,184.89,12.82,-0.06,51.84,4.83
839,-0.02,15.79,1.61,0.00,15.36,1.25,0.01,35.74,3.15,0.04,7.47,0.69,0.02,184.27,12.61,-0.04,53.09,4.54
840,-0.04,15.56,1.62,-0.06,14.47,1.32,-0.11,31.71,3.94,-0.10,6.51,0.73,-0.03,175.89,11.87,0.03,56.92,5.02
841,0.06,17.17,1.96,-0.02,15.08,1.23,0.05,37.31,3.72,-0.03,6.92,0.60,0.01,183.40,12.34,0.02,56.02,4.72
842,-0.05,15.41,1.64,-0.05,14.60,1.28,-0.01,34.85,3.03,-0.07,6.64,0.67,-0.01,180.52,11.79,0.11,61.58,7.89
843,0.01,16.34,1.66,0.00,15.27,1.24,-0.02,34.49,3.03,0.07,7.67,0.80,0.00,181.36,11.92,-0.01,54.66,4.48
844,-0.18,13.51,2.60,-0.06,14.46,1.32,0.02,36.12,3.24,0.04,7.43,0.67,-0.01,179.15,11.72,0.01,55.57,4.62
845,0.04,16.77,1.78,-0.05,14.61,1.28,0.03,36.27,3.29,-0.05,6.83,0.61,-0.06,171.21,13.11,0.02,56.42,4.85
846,0.05,16.91,1.84,0.04,15.89,1.41,0.02,35.96,3.19,0.04,7.42,0.67,0.02,184.40,12.65,0.02,56.38,4.83
847,-0.22,13.01,3.02,-0.07,14.29,1.38,-0.05,33.71,3.12,-0.11,6.44,0.77,0.01,184.02,12.53,-0.07,51.60,4.90
848,0.09,17.68,2.24,0.06,16.23,1.57,0.01,35.66,3.13,0.03,7.38,0.66,-0.03,175.28,11.96,0.02,55.97,4.71
849,-0.02,15.90,1.61,0.01,15.42,1.27,0.01,35.61,3.12,-0.04,6.88,0.60,0.06,193.11,17.03,-0.01,54.62,4.48
850,0.15,18.84,3.10,0.09,16.82,1.95,0.00,35.32,3.07,-0.01,7.07,0.59,0.02,184.71,12.75,0.14,63.56,9.56
851,-0.17,13.57,2.56,-0.06,14.43,1.33,0.05,37.30,3.72,0.01,7.20,0.61,-0.01,179.08,11.72,-0.02,54.11,4.46
852,0.08,17.46,2.11,0.01,15.49,1.28,-0.01,35.12,3.04,-0.03,6.94,0.59,0.04,188.64,14.41,-0.02,54.13,4.47
853,0.06,17.22,1.98,0.02,15.57,1.30,0.03,36.49,3.36,-0.01,7.12,0.59,0.02,184.75,12.77,0.04,57.61,5.32
854,-0.05,15.40,1.64,-0.05,14.56,1.29,0.05,37.06,3.60,-0.07,6.65,0.67,0.02,185.23,12.94,-0.01,54.68,4.48
855,0.05,17.06,1.90,-0.02,14.97,1.23,0.02,35.97,3.20,-0.04,6.89,0.60,-0.02,177.18,11.73,0.03,56.79,4.97
856,0.06,17.08,1.91,-0.01,15.22,1.23,-0.03,34.33,3.03,0.01,7.23,0.61,0.02,186.06,13.23,0.00,55.28,4.57
857,0.03,16.64,1.74,-0.02,15.05,1.23,-0.03,34.26,3.04,0.01,7.20,0.61,0.04,188.96,14.56,-0.05,52.26,4.70
858,-0.08,14.88,1.78,-0.01,15.10,1.23,-0.04,34.06,3.07,-0.01,7.12,0.59,-0.02,178.43,11.69,-0.01,54.44,4.47
859,-0.04,15.46,1.63,0.02,15.67,1.33,0.00,35.44,3.09,0.00,7.15,0.60,0.06,192.09,16.38,-0.04,53.16,4.53
860,0.10,17.87,2.36,0.05,16.15,1.53,0.02,35.98,3.20,0.04,7.45,0.69,0.02,184.65,12.73,0.05,58.06,5.53
861,0.08,17.43,2.09,0.03,15.72,1.35,0.07,38.02,4.11,0.03,7.37,0.65,-0.02,178.64,11.70,0.00,55.07,4.53
862,-0.06,15.28,1.66,-0.01,15.12,1.23,0.05,37.31,3.72,0.01,7.24,0.62,0.03,187.34,13.77,-0.03,53.47,4.49
863,0.02,16.54,1.71,-0.03,14.94,1.23,0.06,37.45,3.78,-0.03,6.92,0.59,0.02,184.62,12.72,-0.07,51.42,4.97
864,-0.06,15.26,1.67,0.02,15.63,1.32,0.04,36.88,3.52,0.01,7.27,0.62,-0.01,180.30,11.77,-0.04,53.05,4.54
865,0.02,16.49,1.70,-0.02,15.10,1.23,0.01,35.61,3.12,0.06,7.61,0.76,-0.03,176.37,11.82,-0.03,53.53,4.48
866,0.07,17.35,2.05,0.05,16.05,1.48,0.01,35.56,3.11,-0.03,6.93,0.59,0.02,185.34,12.98,0.07,59.27,6.22
867,-0.02,15.86,1.61,-0.02,14.96,1.23,-0.03,34.40,3.03,-0.01,7.08,0.59,-0.02,178.00,11.69,-0.05,52.32,4.69
868,-0.02,15.80,1.61,0.04,15.92,1.42,-0.06,33.42,3.19,0.00,7.14,0.60,0.04,188.71,14.44,0.11,61.73,8.00
869,0.10,17.93,2.40,0.04,15.99,1.45,-0.05,33.76,3.11,0.07,7.69,0.81,-0.01,178.88,11.71,-0.06,51.92,4.80
870,0.09,17.68,2.24,0.01,15.52,1.29,0.06,37.55,3.84,-0.02,7.01,0.59,0.00,180.70,11.82,0.01,55.54,4.62
871,-0.01,16.06,1.62,0.04,15.90,1.41,-0.02,34.68,3.03,0.02,7.32,0.64,0.01,184.20,12.58,0.04,57.34,5.19
872,0.02,16.43,1.68,-0.05,14.52,1.30,0.01,35.84,3.16,0.03,7.38,0.65,-0.09,165.91,15.82,-0.03,53.45,4.49
873,0.00,16.20,1.64,-0.01,15.14,1.23,-0.07,32.97,3.33,0.00,7.14,0.60,0.03,186.78,13.52,0.04,57.09,5.08
874,0.06,17.09,1.92,0.05,16.10,1.50,0.00,35.43,3.09,-0.04,6.88,0.60,0.02,185.55,13.05,0.07,59.20,6.18
875,-0.09,14.70,1.85,-0.06,14.43,1.33,-0.01,34.84,3.03,0.03,7.36,0.65,-0.05,173.20,12.45,-0.07,51.49,4.94
876,0.06,17.23,1.98,0.03,15.85,1.39,0.00,35.23,3.06,0.05,7.52,0.72,0.02,185.08,12.88,-0.01,54.50,4.47
877,-0.03,15.71,1.61,0.03,15.80,1.37,-0.08,32.54,3.51,0.03,7.35,0.64,-0.01,180.52,11.78,-0.02,53.82,4.46
878,0.08,17.44,2.10,-0.05,14.59,1.28,0.08,38.31,4.29,0.03,7.37,0.65,0.00,180.66,11.81,-0.05,52.46,4.65
879,-0.15,13.90,2.32,-0.02,15.02,1.23,-0.08,32.79,3.40,-0.01,7.07,0.59,-0.01,180.33,11.77,-0.12,49.07,6.20
880,0.07,17.26,2.00,-0.03,14.82,1.24,-0.06,33.28,3.24,0.05,7.54,0.73,-0.03,176.70,11.78,0.01,55.71,4.65
881,-0.04,15.54,1.62,-0.03,14.82,1.24,0.00,35.31,3.07,-0.03,6.97,0.59,-0.02,178.18,11.69,0.04,57.40,5.22
882,-0.14,14.10,2.18,-0.03,14.82,1.24,-0.08,32.63,3.47,-0.03,6.91,0.60,0.03,187.56,13.88,0.04,57.14,5.10
883,-0.04,15.56,1.62,-0.06,14.41,1.33,-0.01,35.03,3.04,-0.02,6.99,0.59,-0.02,177.80,11.69,0.06,58.47,5.75
884,0.03,16.60,1.73,0.03,15.86,1.39,-0.02,34.57,3.03,0.01,7.23,0.61,0.04,188.83,14.50,0.02,56.47,4.87
885,0.17,19.13,3.34,0.07,16.49,1.72,0.09,38.61,4.49,0.06,7.58,0.75,0.04,188.49,14.33,0.01,55.63,4.63
886,0.06,17.20,1.97,0.02,15.63,1.32,0.09,38.88,4.68,0.06,7.58,0.75,-0.09,166.19,15.64,0.08,60.01,6.71
887,0.05,17.07,1.90,0.03,15.77,1.36,0.01,35.59,3.12,0.05,7.52,0.72,0.00,180.77,11.83,-0.11,49.47,5.95
888,0.00,16.11,1.62,0.01,15.56,1.29,0.02,36.17,3.26,-0.03,6.93,0.59,-0.05,172.85,12.54,0.02,55.98,4.71
889,0.08,17.51,2.14,-0.01,15.25,1.24,0.02,36.07,3.23,-0.08,6.64,0.67,0.03,187.79,13.99,0.04,57.58,5.30
890,-0.05,15.39,1.64,-0.04,14.70,1.26,-0.08,32.51,3.52,-0.05,6.78,0.62,0.02,184.53,12.69,0.12,61.97,8.20
891,-0.06,15.26,1.67,-0.01,15.16,1.23,0.01,35.80,3.15,-0.05,6.82,0.61,0.02,185.53,13.05,0.04,57.37,5.20
892,0.21,19.98,4.12,0.07,16.41,1.67,0.16,41.66,6.98,0.08,7.76,0.85,0.07,194.33,17.88,-0.03,53.41,4.50
893,-0.05,15.31,1.66,0.02,15.58,1.30,-0.07,33.07,3.30,-0.01,7.10,0.59,0.03,186.88,13.56,0.00,55.14,4.54
894,0.05,17.06,1.90,0.07,16.47,1.71,0.02,35.97,3.20,-0.01,7.08,0.59,0.01,184.01,12.52,0.08,59.54,6.39
895,-0.05,15.34,1.65,0.02,15.65,1.32,-0.09,32.27,3.63,-0.02,7.04,0.59,0.03,187.39,13.80,0.05,58.06,5.53
896,0.04,16.75,1.78,0.00,15.30,1.25,-0.02,34.57,3.03,0.01,7.26,0.62,0.00,181.45,11.94,-0.10,49.93,5.68
897,-0.03,15.68,1.61,0.01,15.48,1.28,0.00,35.40,3.08,-0.06,6.72,0.64,0.02,184.94,12.83,-0.01,54.84,4.50
898,-0.08,14.96,1.75,-0.06,14.38,1.35,0.04,36.71,3.44,-0.02,7.00,0.59,-0.02,178.41,11.69,-0.05,52.34,4.68
899,0.09,17.72,2.26,0.01,15.52,1.29,0.01,35.88,3.17,0.04,7.44,0.68,0.01,183.51,12.36,0.01,55.45,4.60
900,-0.02,15.89,1.61,0.01,15.50,1.28,0.07,37.76,3.96,0.03,7.41,0.67,0.01,183.87,12.48,-0.06,51.81,4.83
901,0.11,18.00,2.45,-0.01,15.20,1.23,0.04,36.63,3.41,0.07,7.68,0.81,-0.05,173.04,12.49,-0.01,54.44,4.47
902,0.05,16.97,1.86,-0.02,15.04,1.23,0.06,37.65,3.90,0.00,7.14,0.60,-0.05,173.41,12.39,-0.02,53.88,4.46
